machineID,k,precision,recall,f1
92,5,0.6,1.0,0.75
93,1,1.0,0.3333,0.5
93,3,1.0,1.0,1.0
93,5,0.6,1.0,0.75
94,1,1.0,0.3333,0.5
94,3,0.6667,0.6667,0.6667
94,5,0.6,1.0,0.75
95,1,1.0,0.25,0.4
95,3,1.0,0.75,0.8571
95,5,0.8,1.0,0.8889
96,1,0.0,0.0,0.0
96,3,0.3333,1.0,0.5
96,5,0.2,1.0,0.3333
97,1,1.0,0.3333,0.5
97,3,0.6667,0.6667,0.6667
97,5,0.6,1.0,0.75
98,1,1.0,0.25,0.4
98,3,1.0,0.75,0.8571
98,5,0.8,1.0,0.8889
99,1,1.0,0.25,0.4
99,3,1.0,0.75,0.8571
99,5,0.8,1.0,0.8889
100,1,1.0,0.5,0.6667
100,3,0.6667,1.0,0.8
100,5,0.4,1.0,0.5714
